phrase	category
"The ignition coil has visible cracks and the engine has a rough idle. Starting requires multiple attempts and there's a noticeable delay between turning the key and engine firing."	Ignition System Malfunctions
"The driver's side floor mat is damp with coolant. The heater core is leaking and there's a sweet smell inside the cabin when the heating is on."	Cooling System Anomalies
"The car makes a high-pitched squealing noise when braking. The brake pads are worn down to the metal and the rotors show heat discoloration."	Brake System Defects
"The transmission is slow to engage when shifting from park to drive. There's a delay of several seconds before the vehicle moves and a clunking noise can be heard."	Transmission Problems
"The power locks activate randomly and the alarm goes off without reason. The body control module shows error codes and the remote key fob works inconsistently."	Electrical/Electronic Failures
"The vehicle hesitates when accelerating from a stop and the check engine light flashes during this hesitation. The fuel pressure regulator is leaking when examined."	Fuel System Problems
"Engine knocking becomes louder as engine temperature increases. The timing chain is loose and has jumped several teeth, causing valve timing to be significantly off."	Ignition System Malfunctions
"The water pump is making a grinding noise and the bearings have excessive play. Coolant is leaking where the pump meets the engine block."	Cooling System Anomalies
"When making tight turns at low speeds, the brakes seem to grab unexpectedly. The ABS module has corrosion on its connectors and the wheel speed sensors are contaminated."	Brake System Defects
"The transmission slips between second and third gear, especially under heavy acceleration. The transmission control module shows errors related to solenoid function."	Transmission Problems
"The dashboard lights flicker at highway speeds and the alternator output is inconsistent when tested. The voltage regulator is failing intermittently."	Electrical/Electronic Failures
"The exhaust emits a strong smell of unburned fuel and the oxygen sensor readings are outside normal parameters. The fuel injectors pulse irregularly when monitored."	Fuel System Problems
"The spark plug wires are arcing visibly at night and there's a misfire that moves between different cylinders. The distributor rotor shows excessive wear."	Ignition System Malfunctions
"The engine fan runs continuously even after the engine is turned off. The coolant temperature sensor provides incorrect readings and has corroded terminals."	Cooling System Anomalies
"There's a loud clunk when engaging reverse gear and metal fragments are visible in the transmission pan when drained. The torque converter shudders at specific speeds."	Transmission Problems
"Fuses blow frequently, particularly those related to the lighting system. The wiring harness shows signs of rodent damage with multiple exposed wires."	Electrical/Electronic Failures
"The carburetor is flooding, causing the engine to run rich and stall frequently. The fuel pump delivers excessive pressure and the float needle valve doesn't seat properly."	Fuel System Problems
"The engine has a severe vibration at idle which smooths out at higher RPMs. The motor mounts are broken and the ignition module overheats after extended operation."	Ignition System Malfunctions
"The car overheats when stuck in traffic but maintains normal temperature on the highway. The cooling fan clutch is seized and doesn't engage properly."	Cooling System Anomalies
"The car pulls strongly to the right when braking. The left front brake caliper is partially seized and the brake hose is swollen, restricting fluid return."	Brake System Defects
"The CV joints make a clicking noise when turning and the transmission fluid is contaminated with metal particles. The differential bearings show abnormal wear patterns."	Transmission Problems
"The battery won't hold a charge for more than a few days. There's a constant drain on the system even when the vehicle is off, and the alternator belt is loose."	Electrical/Electronic Failures
"The vehicle runs extremely rich with black sooty residue around the tailpipe. The mass airflow sensor is contaminated and providing false readings."	Fuel System Problems
"The engine stumbles specifically at 3000 RPM but runs smoothly above and below this speed. The ignition module cuts out when it reaches operating temperature."	Ignition System Malfunctions
"The radiator fins are blocked with debris and many are bent or damaged. The coolant recovery tank is cracked and leaking when the system is under pressure."	Cooling System Anomalies
"The pedal goes all the way to the floor before brakes engage. There's air in the brake lines and the proportioning valve is sticking when tested."	Brake System Defects
"The horn sounds continuously without being pressed. The steering wheel clock spring is damaged and multiple electrical shorts are detected in the steering column."	Electrical/Electronic Failures
"The car has significantly reduced power and black smoke comes from the exhaust. The fuel filter is completely clogged and the return line is kinked."	Fuel System Problems
"The brake pedal gradually sinks to the floor during prolonged stops at traffic lights. The master cylinder internal seals are leaking past the primary cup."	Brake System Defects
"The manual transmission grinds when shifting into third gear. The synchronizer rings are worn and the shift fork is bent from previous hard shifting."	Transmission Problems
"The vehicle's electronics reset when going over bumps. There are loose connections at the main ground points and corrosion at the battery terminals."	Electrical/Electronic Failures
"The camshaft lobes show excessive wear and the valve clearances are out of specification. The oil pressure is low at idle, affecting the variable valve timing system."	Ignition System Malfunctions
"Coolant is mixing with the engine oil causing emulsion. The intake manifold gasket is deteriorated and allowing coolant to seep into the cylinders."	Cooling System Anomalies
"There's a noticeable pulsation in the brake pedal during normal stopping. The rotors are warped from excessive heat and have developed hard spots."	Brake System Defects
"The transfer case makes a howling noise in four-wheel drive mode. The fluid is contaminated and the chain has stretched beyond serviceable limits."	Transmission Problems
"The power windows operate at different speeds and sometimes reverse direction. The window regulators have bent tracks and the motors draw excessive current."	Electrical/Electronic Failures
"The fuel level sensor provides inaccurate readings. The gauge shows empty when the tank is a quarter full and the warning light remains on continuously."	Fuel System Problems
"The engine exhibits detonation under load, particularly during hot weather. The EGR valve is stuck open and the knock sensor has failed to detect pre-ignition."	Ignition System Malfunctions
"The brake booster provides insufficient assistance, requiring much greater pedal force than normal. The vacuum line is cracked and the check valve is stuck."	Brake System Defects
"The dashboard warning lights stay on after starting. The instrument cluster has faulty circuits and the data communication bus has intermittent faults."	Electrical/Electronic Failures
"The camshaft timing is retarded due to a stretched timing chain. The engine lacks power at high RPM and has difficulty maintaining highway speeds on inclines."	Ignition System Malfunctions
"The vehicle's cabin heater produces only cool air even when the engine is at operating temperature. The heater control valve is stuck closed and the thermostat is opening too early."	Cooling System Anomalies
"The parking brake fails to hold the vehicle on modest inclines. The cables are stretched and the rear brake shoe adjusters are seized from corrosion."	Brake System Defects
"The transmission fluid is leaking from the front pump seal. There's a red puddle under the vehicle after parking and the fluid needs frequent topping up."	Transmission Problems
